Forum_id|Tag_id
1892|24921
1893|24921
1894|24921
1895|24921
1896|24921
1897|24921
1898|24921
1899|24921
1900|24921
1901|24921
1902|24921
1903|24921
1904|24921
1905|24921
1906|24921
1907|24921
1908|24921
1909|24921
2957|25592
2958|25592
2959|25592
2960|25592
2961|25592
2962|25592
2963|25592
2964|25592
2965|25592
2966|25592
6552|24929
6553|24929
6554|24929
6555|24929
6556|24929
6557|24929
6558|24929
6559|24929
6560|24929
6561|24929
6562|24929
6563|24929
6564|24929
6565|24929
6566|24929
6567|24929
6568|24929
6569|24929
6570|24929
6571|24929
6572|24929
6573|24929
6574|24929
6575|24929
6576|24929
6577|24929
6578|24929
6579|24929
6580|24929
10568|23493
10569|23493
10570|23493
10571|23493
10572|23493
10573|23493
10574|23493
10575|23493
10576|23493
10577|23493
10578|23493
10579|23493
10580|23493
10581|23493
10582|23493
11928|24839
11929|24839
11930|24839
11931|24839
11932|24839
11933|24839
11934|24839
11935|24839
11936|24839
11937|24839
13289|23446
13290|23446
13291|23446
13292|23446
13293|23446
13294|23446
13295|23446
13296|23446
13297|23446
13298|23446
13299|23446
13300|23446
13301|23446
13302|23446
13303|23446
13793|24810
13794|24810
13795|24810
13796|24810
13797|24810
13798|24810
13799|24810
13800|24810
13801|24810
13802|24810
13803|24810
