TagClass_id1|TagClass_id2
15210|15211
15211|15212
15212|15213
15214|15211
15215|15216
15216|15211
15217|15218
15218|15211
15219|15211
15220|15221
15221|15211
15222|15223
15223|15211
15224|15211
15225|15226
15226|15211
15227|15226
15228|15221
15229|15226
15230|15223
15231|15226
15232|15226
15233|15221
15234|15226
15235|15211
15236|15211
15237|15211
15238|15226
15239|15221
15240|15226
15241|15211
15242|15223
15243|15226
15244|15221
15245|15226
15246|15226
15247|15226
15248|15218
15249|15223
15250|15223
15251|15252
15252|15212
15253|15226
15254|15255
15255|15226
15256|15257
15257|15226
15258|15223
15259|15211
15260|15211
15261|15211
15262|15223
15263|15264
15264|15213
15265|15211
15266|15211
15267|15244
15268|15269
15269|15264
15270|15269
15271|15269
15272|15273
15273|15274
15274|15213
15275|15260
15276|15271
15277|15252
15278|15252
15279|15280
15280|15211
